aspect,mentions,pos,neg,scope,group,neg_ratio,pos_ratio
位置交通,129478,101267,996,全市,全市,0.0077,0.7821
停車,1025,577,60,全市,全市,0.0585,0.5629
入住流程,29671,13716,1056,全市,全市,0.0356,0.4623
床與睡眠,26903,14679,1532,全市,全市,0.0569,0.5456
性價比,16036,11831,494,全市,全市,0.0308,0.7378
房東服務,90276,65393,1727,全市,全市,0.0191,0.7244
早餐餐飲,20714,9533,412,全市,全市,0.0199,0.4602
清潔,64437,60005,719,全市,全市,0.0112,0.9312
空調冷氣,7061,2433,1125,全市,全市,0.1593,0.3446
空間大小,50593,32185,6813,全市,全市,0.1347,0.6362
網路WiFi,4311,1688,431,全市,全市,0.1,0.3916
衛浴熱水,18782,8294,2348,全市,全市,0.125,0.4416
設備廚房,15420,7429,980,全市,全市,0.0636,0.4818
隔音噪音,20184,13177,2774,全市,全市,0.1374,0.6528
位置交通,9581,7611,94,行政區,中山區,0.0098,0.7944
停車,119,81,6,行政區,中山區,0.0504,0.6807
入住流程,2359,1188,106,行政區,中山區,0.0449,0.5036
床與睡眠,2038,1132,133,行政區,中山區,0.0653,0.5554
性價比,1222,890,47,行政區,中山區,0.0385,0.7283
房東服務,6354,4535,179,行政區,中山區,0.0282,0.7137
早餐餐飲,1552,716,43,行政區,中山區,0.0277,0.4613
清潔,5379,4958,81,行政區,中山區,0.0151,0.9217
空調冷氣,592,201,130,行政區,中山區,0.2196,0.3395
空間大小,4608,3084,524,行政區,中山區,0.1137,0.6693
網路WiFi,334,137,44,行政區,中山區,0.1317,0.4102
衛浴熱水,1622,758,201,行政區,中山區,0.1239,0.4673
設備廚房,1523,771,100,行政區,中山區,0.0657,0.5062
隔音噪音,1622,1078,224,行政區,中山區,0.1381,0.6646
位置交通,22008,17500,125,行政區,中正區,0.0057,0.7952
停車,110,61,5,行政區,中正區,0.0455,0.5545
入住流程,4484,2181,141,行政區,中正區,0.0314,0.4864
床與睡眠,4074,2346,186,行政區,中正區,0.0457,0.5758
性價比,2508,1882,88,行政區,中正區,0.0351,0.7504
房東服務,12151,9045,222,行政區,中正區,0.0183,0.7444
早餐餐飲,2830,1305,51,行政區,中正區,0.018,0.4611
清潔,10424,9710,79,行政區,中正區,0.0076,0.9315
