id,rev_window,occ_days,real_vac,real_revenue_365,is_dormant
68398,1,60.0,0.7802,88081.32,0
271733,1,28.0,0.8974,44923.08,0
272314,0,0.0,1.0,0.0,1
289296,0,0.0,1.0,0.0,1
289298,1,60.0,0.7802,176082.42,0
333362,0,0.0,1.0,0.0,0
646629,31,186.0,0.3187,552072.53,0
718493,2,140.0,0.4872,282453.85,0
761561,4,40.0,0.8535,82198.53,0
869581,0,0.0,1.0,0.0,1
963051,0,0.0,1.0,0.0,1
983054,0,0.0,1.0,0.0,1
1015037,1,60.0,0.7802,112468.13,0
1037747,0,0.0,1.0,0.0,1
1072856,1,6.0,0.978,21731.54,0
1072857,11,66.0,0.7582,275579.01,0
1094125,5,190.73,0.3014,1198524.96,0
1097851,5,30.0,0.8901,121051.65,0
1120179,7,190.73,0.3014,532961.1,0
1126278,0,0.0,1.0,0.0,1
1139869,0,0.0,1.0,0.0,1
1259320,2,112.0,0.5897,632217.44,0
1297987,16,190.73,0.3014,591867.33,0
1599241,0,0.0,1.0,0.0,1
1618365,0,0.0,1.0,0.0,1
1631691,14,84.0,0.6923,164530.77,0
1664910,4,24.0,0.9121,56474.73,0
1671130,8,190.73,0.3014,326661.8,0
1689077,38,190.73,0.3014,373582.78,0
1701140,11,66.0,0.7582,115596.7,0
1718240,26,156.0,0.4286,536445.71,0
1804621,4,24.0,0.9121,108264.62,0
1805413,20,120.0,0.5604,231674.73,0
1805783,3,156.0,0.4286,1163828.57,0
1808483,25,150.0,0.4505,234642.86,0
1828204,4,24.0,0.9121,46334.95,0
1828230,8,48.0,0.8242,94017.58,0
1838199,0,0.0,1.0,0.0,1
1838528,0,0.0,1.0,0.0,0
1849010,0,0.0,1.0,0.0,1
1884880,0,0.0,1.0,0.0,0
1911361,0,0.0,1.0,0.0,1
1933639,0,0.0,1.0,0.0,0
1938837,5,70.0,0.7436,162097.44,0
1980573,1,10.0,0.9634,29413.92,0
2075962,0,0.0,1.0,0.0,1
2084454,0,0.0,1.0,0.0,1
2114695,0,0.0,1.0,0.0,1
2263430,0,0.0,1.0,0.0,1
2365294,0,0.0,1.0,0.0,1
2429479,0,0.0,1.0,0.0,1
2498582,0,0.0,1.0,0.0,1
2498747,0,0.0,1.0,0.0,1
2498893,0,0.0,1.0,0.0,1
2553760,0,0.0,1.0,0.0,1
2632210,26,190.73,0.3014,1289051.85,0
2637590,10,60.0,0.7802,103563.74,0
2678719,1,60.0,0.7802,26151.65,0
2753686,0,0.0,1.0,0.0,0
2808875,0,0.0,1.0,0.0,1
2969214,0,0.0,1.0,0.0,1
3028074,1,42.0,0.8462,129153.85,0
3062366,1,8.0,0.9707,74871.79,0
3070785,8,80.0,0.707,134448.35,0
3106555,4,48.0,0.8242,118596.92,0
3186548,25,150.0,0.4505,261516.48,0
3214180,19,114.0,0.5824,852166.7,0
3304239,1,76.0,0.7216,147641.83,0
3399891,1,62.0,0.7729,328259.34,0
3407985,0,0.0,1.0,0.0,1
3485675,0,0.0,1.0,0.0,0
3499060,0,0.0,1.0,0.0,1
3840606,27,190.73,0.3014,532706.1,0
3879242,24,144.0,0.4725,341543.74,0
3908056,0,0.0,1.0,0.0,1
3919250,0,0.0,1.0,0.0,0
3933100,0,0.0,1.0,0.0,1
3953759,0,0.0,1.0,0.0,1
3975942,4,190.73,0.3014,703814.66,0
4014018,15,150.0,0.4505,305436.81,0
4014179,2,24.0,0.9121,112307.69,0
4018116,14,112.0,0.5897,220123.08,0
4035563,0,0.0,1.0,0.0,0
4054999,14,112.0,0.5897,206346.67,0
4106145,0,0.0,1.0,0.0,1
4106431,0,0.0,1.0,0.0,1
4118004,0,0.0,1.0,0.0,1
4148503,0,0.0,1.0,0.0,0
4317397,0,0.0,1.0,0.0,0
4318191,0,0.0,1.0,0.0,1
4320299,0,0.0,1.0,0.0,1
4372441,0,0.0,1.0,0.0,1
4467294,0,0.0,1.0,0.0,0
4468613,0,0.0,1.0,0.0,1
4495681,0,0.0,1.0,0.0,1
4495844,0,0.0,1.0,0.0,1
4507773,0,0.0,1.0,0.0,1
4520900,0,0.0,1.0,0.0,1
4541617,0,0.0,1.0,0.0,1
4561084,0,0.0,1.0,0.0,1
4568861,3,180.0,0.3407,308284.62,0
4607827,0,0.0,1.0,0.0,1
4630004,0,0.0,1.0,0.0,1
4702288,0,0.0,1.0,0.0,1
4702374,0,0.0,1.0,0.0,1
4738149,0,0.0,1.0,0.0,1
4749034,0,0.0,1.0,0.0,1
4777225,2,120.0,0.5604,150010.99,0
4844292,3,90.0,0.6703,194452.75,0
4845099,0,0.0,1.0,0.0,0
4848637,0,0.0,1.0,0.0,1
4851830,38,190.73,0.3014,302946.31,0
4863470,0,0.0,1.0,0.0,1
4890403,0,0.0,1.0,0.0,1
4892246,0,0.0,1.0,0.0,1
4894283,0,0.0,1.0,0.0,1
4912003,0,0.0,1.0,0.0,1
4934107,0,0.0,1.0,0.0,0
4938261,0,0.0,1.0,0.0,0
4944433,0,0.0,1.0,0.0,1
4944559,6,190.73,0.3014,566621.8,0
4951590,0,0.0,1.0,0.0,0
4969123,0,0.0,1.0,0.0,1
4984328,0,0.0,1.0,0.0,0
5001526,15,150.0,0.4505,363796.7,0
5081030,0,0.0,1.0,0.0,1
5081189,0,0.0,1.0,0.0,1
5111903,25,150.0,0.4505,260914.84,0
5184999,3,18.0,0.9341,63606.26,0
5193504,12,96.0,0.6484,251184.18,0
5222553,2,80.0,0.707,235525.27,0
5290265,0,0.0,1.0,0.0,1
5352519,0,0.0,1.0,0.0,1
5369168,0,0.0,1.0,0.0,1
5392448,0,0.0,1.0,0.0,1
5395912,0,0.0,1.0,0.0,1
5448667,0,0.0,1.0,0.0,0
5472730,0,0.0,1.0,0.0,1
5475006,0,0.0,1.0,0.0,0
5475668,1,60.0,0.7802,147845.05,0
5515015,2,12.0,0.956,24868.13,0
5575829,14,84.0,0.6923,242023.08,0
5607149,0,0.0,1.0,0.0,0
5608812,0,0.0,1.0,0.0,1
5673023,0,0.0,1.0,0.0,0
5680005,1,6.0,0.978,21202.09,0
5731739,0,0.0,1.0,0.0,0
5770849,0,0.0,1.0,0.0,1
5848620,0,0.0,1.0,0.0,1
5854576,1,60.0,0.7802,187313.19,0
5966970,19,114.0,0.5824,391255.93,0
5976179,14,84.0,0.6923,266506.15,0
6008427,1,56.0,0.7949,53907.69,0
6023644,1,56.0,0.7949,52410.26,0
6046711,1,6.0,0.978,33178.9,0
6050738,0,0.0,1.0,0.0,1
6068270,25,150.0,0.4505,389667.58,0
6087214,2,120.0,0.5604,337564.84,0
6094681,0,0.0,1.0,0.0,1
6110481,0,0.0,1.0,0.0,0
6121089,0,0.0,1.0,0.0,0
6121199,10,60.0,0.7802,237691.21,0
6173828,0,0.0,1.0,0.0,1
6196233,7,190.73,0.3014,1032771.51,0
6217090,0,0.0,1.0,0.0,1
6224868,3,186.0,0.3187,571967.03,0
6234488,0,0.0,1.0,0.0,0
6243561,9,126.0,0.5385,366909.23,0
6314122,18,108.0,0.6044,263666.37,0
6377639,0,0.0,1.0,0.0,1
6380635,0,0.0,1.0,0.0,1
6380722,0,0.0,1.0,0.0,0
6380811,0,0.0,1.0,0.0,0
6380940,0,0.0,1.0,0.0,1
6386082,0,0.0,1.0,0.0,0
6400213,4,160.0,0.4139,515545.79,0
6405839,3,180.0,0.3407,283978.02,0
6511572,2,12.0,0.956,27114.29,0
6511868,0,0.0,1.0,0.0,1
6546414,0,0.0,1.0,0.0,1
6554371,3,18.0,0.9341,40671.43,0
6567840,0,0.0,1.0,0.0,0
6597813,0,0.0,1.0,0.0,0
6694505,2,12.0,0.956,25734.51,0
6753698,0,0.0,1.0,0.0,1
6771979,0,0.0,1.0,0.0,1
6816756,2,12.0,0.956,42404.18,0
6898486,1,60.0,0.7802,146721.98,0
6902353,2,112.0,0.5897,294695.38,0
6996925,0,0.0,1.0,0.0,0
7014236,0,0.0,1.0,0.0,1
7045673,0,0.0,1.0,0.0,0
7196744,1,6.0,0.978,13557.14,0
7236737,12,72.0,0.7363,593080.88,0
7283802,0,0.0,1.0,0.0,1
7312737,5,30.0,0.8901,100876.37,0
7319733,0,0.0,1.0,0.0,1
7351938,0,0.0,1.0,0.0,1
7370637,2,12.0,0.956,25124.84,0
7375824,2,12.0,0.956,30948.79,0
7658761,0,0.0,1.0,0.0,1
7724648,0,0.0,1.0,0.0,0
7725908,20,120.0,0.5604,420030.77,0
7797772,0,0.0,1.0,0.0,0
7848303,13,182.0,0.3333,652620.0,0
7861901,0,0.0,1.0,0.0,0
7864125,2,112.0,0.5897,97333.33,0
7922657,11,66.0,0.7582,635340.66,0
7931592,24,144.0,0.4725,568341.1,0
8002342,0,0.0,1.0,0.0,1
8118749,12,72.0,0.7363,85578.46,0
8137719,11,190.73,0.3014,1213825.28,0
8202791,0,0.0,1.0,0.0,0
8214630,0,0.0,1.0,0.0,1
8260269,23,184.0,0.326,1027818.61,0
8323680,17,102.0,0.6264,288430.22,0
8383669,7,42.0,0.8462,145494.62,0
8384357,0,0.0,1.0,0.0,1
8395269,0,0.0,1.0,0.0,1
8428125,0,0.0,1.0,0.0,0
8431901,11,66.0,0.7582,391440.44,0
8479555,8,48.0,0.8242,84776.26,0
8547900,19,114.0,0.5824,383330.22,0
8592007,0,0.0,1.0,0.0,1
8613386,4,24.0,0.9121,63534.07,0
8620493,0,0.0,1.0,0.0,0
8712419,2,120.0,0.5604,256382.42,0
8751539,28,168.0,0.3846,1446972.31,0
8781059,10,190.73,0.3014,528626.01,0
8880657,19,152.0,0.4432,374540.81,0
8893269,0,0.0,1.0,0.0,0
9051375,11,66.0,0.7582,120979.45,0
9053364,11,66.0,0.7582,120273.52,0
9054031,11,66.0,0.7582,149128.57,0
9121994,0,0.0,1.0,0.0,1
9144261,1,6.0,0.978,19549.56,0
9202653,10,60.0,0.7802,170467.03,0
9292277,2,56.0,0.7949,164867.69,0
9311543,17,136.0,0.5018,1688487.33,0
9372986,7,190.73,0.3014,479154.98,0
9413296,0,0.0,1.0,0.0,0
9419095,0,0.0,1.0,0.0,1
9438346,14,112.0,0.5897,297840.0,0
9457310,0,0.0,1.0,0.0,1
9466812,16,190.73,0.3014,1138088.7,0
9468976,0,0.0,1.0,0.0,0
9471108,3,18.0,0.9341,97611.43,0
9535176,0,0.0,1.0,0.0,0
9622276,0,0.0,1.0,0.0,1
9669477,1,14.0,0.9487,65512.82,0
9686963,0,0.0,1.0,0.0,1
9715354,5,30.0,0.8901,353287.91,0
9788632,0,0.0,1.0,0.0,0
9852663,14,190.73,0.3014,557951.62,0
9868533,0,0.0,1.0,0.0,1
9950852,6,190.73,0.3014,401123.35,0
9988638,1,60.0,0.7802,158915.38,0
10047044,2,12.0,0.956,29569.01,0
10096368,0,0.0,1.0,0.0,1
10150463,11,66.0,0.7582,131391.98,0
10150804,5,30.0,0.8901,79497.8,0
10151418,8,48.0,0.8242,116864.18,0
10167061,0,0.0,1.0,0.0,0
10196520,2,120.0,0.5604,130597.8,0
10232580,0,0.0,1.0,0.0,1
10254998,0,0.0,1.0,0.0,1
10296809,3,180.0,0.3407,202875.82,0
10301726,1,20.0,0.9267,85968.86,0
10448762,11,66.0,0.7582,467240.11,0
10463842,4,190.73,0.3014,209614.37,0
10483990,0,0.0,1.0,0.0,1
10530378,1,6.0,0.978,12434.07,0
10554878,1,6.0,0.978,7107.47,0
10558422,0,0.0,1.0,0.0,1
10559106,0,0.0,1.0,0.0,1
10560003,17,102.0,0.6264,303976.81,0
10576868,0,0.0,1.0,0.0,1
10578817,2,12.0,0.956,26729.23,0
10579389,4,24.0,0.9121,56667.25,0
10596335,0,0.0,1.0,0.0,1
10619369,16,96.0,0.6484,137978.02,0
10619401,0,0.0,1.0,0.0,1
10619884,2,12.0,0.956,19605.71,0
10620143,2,12.0,0.956,8342.86,0
10620342,5,30.0,0.8901,20857.14,0
10650328,35,190.73,0.3014,285605.95,0
10689015,13,78.0,0.7143,191781.43,0
10740773,0,0.0,1.0,0.0,0
10742557,0,0.0,1.0,0.0,1
10753725,9,54.0,0.8022,123241.65,0
10755410,2,12.0,0.956,27387.03,0
10755679,0,0.0,1.0,0.0,0
10758473,0,0.0,1.0,0.0,1
10844845,0,0.0,1.0,0.0,1
10845204,0,0.0,1.0,0.0,1
10845460,0,0.0,1.0,0.0,1
10846244,0,0.0,1.0,0.0,1
10847380,0,0.0,1.0,0.0,1
10847892,0,0.0,1.0,0.0,1
10848436,0,0.0,1.0,0.0,1
11007917,16,96.0,0.6484,217170.99,0
11024330,15,90.0,0.6703,91450.55,0
11026681,0,0.0,1.0,0.0,1
11129625,0,0.0,1.0,0.0,1
11140660,3,24.0,0.9121,76850.55,0
11183004,15,90.0,0.6703,146561.54,0
11246441,2,12.0,0.956,48934.07,0
11301973,4,24.0,0.9121,52720.44,0
11324283,4,24.0,0.9121,94370.55,0
11327928,11,66.0,0.7582,284844.4,0
11330930,8,48.0,0.8242,271720.44,0
11402960,12,72.0,0.7363,207448.35,0
11540482,0,0.0,1.0,0.0,0
11561837,2,112.0,0.5897,263848.21,0
11660562,19,114.0,0.5824,182901.1,0
11679874,26,156.0,0.4286,156220.0,0
11686801,0,0.0,1.0,0.0,1
11693088,10,60.0,0.7802,80219.78,0
11839710,15,90.0,0.6703,322242.86,0
11873875,0,0.0,1.0,0.0,1
11977286,9,54.0,0.8022,160423.52,0
11984141,0,0.0,1.0,0.0,1
12044977,0,0.0,1.0,0.0,1
12073442,3,180.0,0.3407,396606.59,0
12078891,0,0.0,1.0,0.0,0
12080926,0,0.0,1.0,0.0,1
12085043,4,24.0,0.9121,55030.77,0
12128820,22,132.0,0.5165,207897.58,0
12163734,1,6.0,0.978,13693.52,0
12177438,8,48.0,0.8242,147861.1,0
12195168,0,0.0,1.0,0.0,1
12221943,2,12.0,0.956,31879.34,0
12255487,0,0.0,1.0,0.0,0
12333661,0,0.0,1.0,0.0,1
12367961,1,6.0,0.978,16685.71,0
12396857,0,0.0,1.0,0.0,1
12473860,0,0.0,1.0,0.0,1
12482688,0,0.0,1.0,0.0,1
