neighbourhood_cleansed,room_type,mi,mkt_rate,n_days
中山區,Entire home/apt,1,1.0,124
中山區,Entire home/apt,2,0.3774,14638
中山區,Entire home/apt,3,0.2045,14663
中山區,Entire home/apt,4,0.1416,14190
中山區,Entire home/apt,5,0.2407,14663
中山區,Entire home/apt,6,0.251,14190
中山區,Entire home/apt,7,0.2707,14663
中山區,Entire home/apt,8,0.3914,14663
中山區,Entire home/apt,9,0.3688,13244
中山區,Entire home/apt,10,0.4091,14663
中山區,Entire home/apt,11,0.539,14190
中山區,Entire home/apt,12,0.5326,14663
中山區,Hotel room,1,1.0,9
中山區,Hotel room,2,0.3185,496
中山區,Hotel room,3,0.0907,496
中山區,Hotel room,4,0.1271,480
中山區,Hotel room,5,0.6492,496
中山區,Hotel room,6,0.6562,480
中山區,Hotel room,7,0.6532,496
中山區,Hotel room,8,0.752,496
中山區,Hotel room,9,0.8125,448
中山區,Hotel room,10,0.8125,496
中山區,Hotel room,11,0.8125,480
中山區,Hotel room,12,0.8125,496
中山區,Private room,1,1.0,53
中山區,Private room,2,0.4931,4411
中山區,Private room,3,0.3221,4433
中山區,Private room,4,0.3179,4290
中山區,Private room,5,0.4074,4433
中山區,Private room,6,0.3902,4290
中山區,Private room,7,0.3991,4433
中山區,Private room,8,0.5087,4433
中山區,Private room,9,0.4978,4004
中山區,Private room,10,0.5567,4433
中山區,Private room,11,0.7273,4290
中山區,Private room,12,0.7203,4433
中山區,Shared room,2,1.0,31
中山區,Shared room,3,1.0,31
中山區,Shared room,4,0.0,30
中山區,Shared room,5,0.0,31
中山區,Shared room,6,0.0,30
中山區,Shared room,7,0.129,31
中山區,Shared room,8,1.0,31
中山區,Shared room,9,1.0,28
中山區,Shared room,10,1.0,31
中山區,Shared room,11,1.0,30
中山區,Shared room,12,1.0,31
中正區,Entire home/apt,1,1.0,98
中正區,Entire home/apt,2,0.5943,13053
中正區,Entire home/apt,3,0.3063,13082
中正區,Entire home/apt,4,0.2081,12660
中正區,Entire home/apt,5,0.3247,13082
中正區,Entire home/apt,6,0.3149,12660
中正區,Entire home/apt,7,0.4453,13082
中正區,Entire home/apt,8,0.4755,13082
中正區,Entire home/apt,9,0.4554,11816
中正區,Entire home/apt,10,0.5197,13082
中正區,Entire home/apt,11,0.6239,12660
中正區,Entire home/apt,12,0.6186,13082
中正區,Hotel room,1,1.0,5
中正區,Hotel room,2,0.6275,247
中正區,Hotel room,3,0.2863,248
中正區,Hotel room,4,0.2125,240
中正區,Hotel room,5,0.3548,248
中正區,Hotel room,6,0.2875,240
中正區,Hotel room,7,0.379,248
中正區,Hotel room,8,0.254,248
中正區,Hotel room,9,0.875,224
中正區,Hotel room,10,0.875,248
中正區,Hotel room,11,0.875,240
中正區,Hotel room,12,0.875,248
中正區,Private room,1,1.0,56
中正區,Private room,2,0.6056,7510
中正區,Private room,3,0.464,7564
中正區,Private room,4,0.4676,7320
中正區,Private room,5,0.5058,7564
中正區,Private room,6,0.5137,7320
中正區,Private room,7,0.464,7564
中正區,Private room,8,0.4491,7564
中正區,Private room,9,0.4775,6832
中正區,Private room,10,0.471,7564
中正區,Private room,11,0.5238,7320
中正區,Private room,12,0.5208,7564
中正區,Shared room,1,1.0,12
中正區,Shared room,2,0.4448,2291
中正區,Shared room,3,0.6011,2294
中正區,Shared room,4,0.4514,2220
中正區,Shared room,5,0.4281,2294
中正區,Shared room,6,0.4158,2220
中正區,Shared room,7,0.4076,2294
