id,property_type_code,photo_design_sense
68398,11,0.5
271733,11,0.5
272314,11,0.5
289296,11,0.5
289298,11,0.5
333362,5,0.5
646629,5,0.5
718493,11,0.5
761561,11,0.5
869581,5,0.5
963051,23,0.5
983054,28,0.5
1015037,11,0.5
1037747,11,0.5
1072856,37,0.5
1072857,38,0.5
1094125,11,0.5
1097851,5,0.5
1120179,11,0.5
1126278,17,0.5
1139869,9,0.5
1259320,5,0.5
1297987,11,0.5
1599241,28,0.5
1618365,28,0.5
1631691,11,0.5
1664910,5,0.5
1671130,5,0.5
1689077,11,0.5
1701140,11,0.5
1718240,5,0.5
1804621,11,0.5
1805413,11,0.5
1805783,11,0.5
1808483,8,0.5
1828204,11,0.5
1828230,11,0.5
1838199,11,0.5
1838528,28,0.5
1849010,28,0.5
1884880,11,0.5
1911361,28,0.5
1933639,39,0.5
1938837,11,0.5
1980573,5,0.5
2075962,11,0.5
2084454,19,0.5
2114695,28,0.5
2263430,11,0.5
2365294,28,0.5
2429479,23,0.5
2498582,28,0.5
2498747,28,0.5
2498893,46,0.5
2553760,28,0.5
2632210,11,0.5
2637590,11,0.5
2678719,46,0.5
2753686,9,0.5
2808875,11,0.5
2969214,11,0.5
3028074,5,0.5
3062366,5,0.5
3070785,28,0.5
3106555,8,0.5
3186548,5,0.5
3214180,5,0.5
3304239,11,0.5
3399891,9,0.5
3407985,19,0.5
3485675,28,0.5
3499060,28,0.5
3840606,11,0.5
3879242,5,0.5
3908056,5,0.5
3919250,11,0.5
3933100,11,0.5
3953759,11,0.5
3975942,11,0.5
4014018,5,0.5
4014179,8,0.5
4018116,5,0.5
4035563,28,0.5
4054999,5,0.5
4106145,11,0.5
4106431,11,0.5
4118004,8,0.5
4148503,11,0.5
4317397,8,0.5
4318191,8,0.5
4320299,11,0.5
4372441,11,0.5
4467294,44,0.5
4468613,40,0.5
4495681,23,0.5
4495844,11,0.5
4507773,8,0.5
4520900,11,0.5
4541617,9,0.5
4561084,23,0.5
4568861,9,0.5
4607827,28,0.5
4630004,8,0.5
4702288,8,0.5
4702374,23,0.5
4738149,28,0.5
4749034,8,0.5
4777225,11,0.5
4844292,9,0.5
4845099,14,0.5
4848637,23,0.5
4851830,11,0.5
4863470,23,0.5
4890403,28,0.5
4892246,23,0.5
4894283,23,0.5
4912003,28,0.5
4934107,31,0.5
4938261,31,0.5
4944433,31,0.5
4944559,31,0.5
4951590,9,0.5
4969123,13,0.5
4984328,11,0.5
5001526,11,0.5
5081030,11,0.5
5081189,11,0.5
5111903,28,0.5
5184999,11,0.5
5193504,11,0.5
5222553,5,0.5
5290265,11,0.5
5352519,11,0.5
5369168,11,0.5
5392448,11,0.5
5395912,38,0.5
5448667,28,0.5
5472730,23,0.5
5475006,28,0.5
5475668,28,0.5
5515015,31,0.5
5575829,9,0.5
5607149,31,0.5
5608812,28,0.5
5673023,31,0.5
5680005,11,0.5
