id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person,dist_to_nearest_mrt_m,mrt_count_500m,bus_stops_count_300m,bus_stops_count_500m,conv_stores_count_200m,conv_stores_count_500m,restaurants_count_500m,dist_to_nearest_park_m,park_count_500m,dist_to_nearest_clinic_m,dist_to_nearest_school_m,avg_review_sentiment,avg_review_length,has_no_reviews
68398,339014,25.0287746,121.55468591047,大安區,Entire home/apt,0.7095890410958904,1,1,1,1,1,0,1098.0,30,365,30.0,0,0,0,8,4.71,4.86,4.57,4.93,4.93,5.0,4.86,0.0390728476821192,0.20860927152317882,0.7878787878787878,468,315,0.82,1.0,2.0,1,3,3,5380,68,150,683,26,62,13,7.428571428571429,1098.0,1098.0,1.0,489.7369958036221,2,8,21,4,26,515,126.3162170622571,5,213.41382118846957,303.78032819481615,0.0,387.26666666666665,0
271733,242033,25.00581,121.55518,文山區,Entire home/apt,0.13424657534246576,0,2,2,2,1,0,1200.0,14,182,14.0,0,0,0,9,4.97,4.96,4.93,4.97,4.99,4.8,4.91,0.16279069767441862,0.7441860465116279,1.3703703703703705,24,19,0.67,1.0,3.0,1,1,1,5487,490,279,165,37,0,0,24.0,600.0,600.0,1.0,200.80362273853066,1,2,8,0,3,11,115.22107162052492,4,543.5358610560921,268.6965200798307,0.0,534.5641025641025,0
272314,1425203,25.04224,121.54265,大安區,Entire home/apt,0.9808219178082191,1,1,1,1,1,0,1220.0,90,1125,90.0,0,0,0,8,4.2,4.14,4.29,3.86,4.14,4.71,3.71,0.06357615894039735,0.033112582781456956,0.2727272727272727,437,372,0.94,1.0,,0,1,1,5063,217,74,160,9,36,14,11.81081081081081,1220.0,1220.0,1.0,69.95135913340036,5,8,22,6,29,485,60.07742252543076,6,175.6721879464523,254.06035781418663,0.0,277.55555555555554,0
289296,1338052,25.04287,121.55112,大安區,Entire home/apt,0.4986301369863014,0,4,2,2,1,0,2622.0,30,1125,30.0,0,0,0,8,4.59,4.69,4.83,4.79,4.86,4.9,4.55,0.376158940397351,0.10993377483443709,0.5151515151515151,498,422,1.0,1.0,1.0,1,2,2,5088,34,165,7,17,50,22,9.764705882352942,655.5,1311.0,0.5,147.05981436361859,8,7,17,8,38,941,398.7720441017096,2,100.36586648142308,477.4870484631117,0.0,283.9655172413793,0
289298,1338052,25.08091,121.55902,中山區,Entire home/apt,0.873972602739726,1,2,1,1,1,0,2195.0,30,1125,30.0,0,0,0,0,4.84,4.87,4.94,4.91,4.96,4.61,4.72,0.4129263913824057,0.6508078994614004,0.88,22,13,1.0,1.0,1.0,1,2,2,5088,40,165,7,22,33,23,0.6470588235294118,1097.5,2195.0,0.5,482.2324319004442,1,11,20,8,14,100,102.0143690835146,18,511.72613711355785,224.68351207866084,0.0,260.8042328042328,0
333362,6542367,25.07893,121.55061,中山區,Entire home/apt,0.8931506849315068,1,2,1,1,1,0,1719.0,3,30,3.0,0,1,0,0,4.75,4.71,4.56,4.72,4.89,4.7,4.73,0.23518850987432674,0.2666068222621185,1.44,16,11,0.94,1.0,,0,1,1,4513,100,50,124,36,15,10,1.0,859.5,1719.0,0.5,366.68329308554485,3,4,11,3,13,108,211.07932358384045,12,299.60164591312883,124.59409032963394,0.0,0.0,0
646629,3204303,25.01708136358273,121.53232686857233,大安區,Entire home/apt,0.27123287671232876,0,3,1,1,1,0,2220.0,2,60,2.0,0,0,0,8,4.65,4.7,4.47,4.79,4.9,4.88,4.61,0.2913907284768212,0.14701986754966886,1.4848484848484849,300,139,0.97,1.0,1.0,1,1,1,4800,249,351,546,49,0,0,300.0,740.0,2220.0,0.3333333333333333,251.54245647552332,6,9,17,5,15,265,103.41101400494318,3,121.07925567016144,204.94787914462793,0.0,357.8181818181818,0
718493,3705836,25.0692,121.58582,內湖區,Entire home/apt,0.6246575342465753,1,4,2,2,1,0,1509.0,35,730,35.0,0,0,0,3,4.59,4.57,4.46,4.77,4.82,4.43,4.52,0.1,0.16666666666666666,1.3333333333333333,6,6,0.82,0.98,1.0,1,26,26,4749,261,343,7,46,6,0,0.8571428571428571,377.25,754.5,0.5,1025.2268528481545,0,4,12,5,10,56,162.08266121332284,3,198.32022567207568,45.24438198932368,0.0,225.2421052631579,0
761561,4014285,25.02463,121.52318,中正區,Entire home/apt,0.36164383561643837,0,2,0,1,1,0,1537.0,5,150,5.0,0,0,0,1,4.77,4.84,4.7,4.88,4.95,4.91,4.77,0.17159763313609466,0.29289940828402367,1.3571428571428572,455,205,1.0,1.0,1.0,1,1,1,4718,285,117,104,38,7,0,56.875,768.5,1537.0,0.5,98.51628663373803,9,11,22,5,23,213,291.29797369789156,3,258.08009163634716,161.33547412653354,0.0,282.74468085106383,0
869581,4581891,25.12665,121.53418,士林區,Entire home/apt,0.9972602739726028,1,3,1,2,2,0,3061.0,364,1125,364.0,0,0,0,6,4.91,4.85,4.94,4.91,4.94,4.79,4.68,0.6692307692307692,0.7615384615384615,1.6206896551724137,6,4,0.94,1.0,,0,2,2,4653,294,119,354,47,4,0,1.2,1020.3333333333334,3061.0,0.6666666666666666,2306.327990929932,0,7,12,0,7,9,256.50746391910417,4,879.3440453992752,1013.0390706007367,0.0,425.9142857142857,0
