object_id,url,標題,價格(元/月),押金(元),管理費(元),地址,行政區,路段,緯度,經度,格局,房,廳,衛,廚,陽台,可住人數,房型,建物型態,坪數,樓層,總樓層,最短租期(月),刊登日,出租方類型,特色標籤,家具家電,車位,租金含,租客條件,照片數,照片URL
lwm4pj9xeyff2vfp,https://www.dd-room.com/object/lwm4pj9xeyff2vfp,劍潭站●士林夜市●運動中心3+1房,68000,136000,0,臺北市士林區基河路,士林區,基河路,25.0980987,121.5144114,4房2廳2衛1廚1陽台,4,2,2,1,1,4.0,整層,elevator,48.5,10,16,12,2026-07-21,broker,可開伙、水泥隔間、有電梯、對外窗、垃圾代收、包裹代收、可報稅、水費照台水、電費照台電、有陽台、租金補貼,床、桌子、椅子、沙發、衣櫃、冷氣、洗衣機、冰箱、電視、流理台、熱水器、天然瓦斯、排油煙機、瓦斯爐,有汽車車位,未提供,未提供,12,https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/1a7cd3c86294a69a9ffee5cbf5e07712_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/6742aca61fc2dfd7f3c8d078e293f3ab_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/e1f1cc4dcd1a51be30b9223b523ffeee_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/29df025b22441f3937765ebfdcdfc7a9_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/82d313abceeabfa41735e18e6e957e42_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/8650c60419fc47f571230c7353cfe7e3_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/219eafded24b5f0e8ea9ca7d98ecd6e6_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/5c38b1b962a607b3300b5aab749817b6_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/8d2003d146179b6a694a4b42afd5141d_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/bd06709e590d6390b592ab08f1856ced_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/15fd0d27141cc8d4ebb10da70a723425_766x510.jpg | https://static.dd-room.com/images/object/l/w/m/lwm4pj9xeyff2vfp/cover/0677ca44fc309c540a433f1b64769132_766x510.jpg
7kgrc8gpjgo931vt,https://www.dd-room.com/object/7kgrc8gpjgo931vt,近捷運忠孝新生【超值租案】可補助★採光優★垃圾代收,13999,27998,0,臺北市大安區八德路二段,大安區,八德路二段,25.0463441,121.5383265,1房1衛,1,0,1,0,0,2.0,獨立套房,apt,4.0,6,6,12,2026-07-21,broker,垃圾代收、租金補貼,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路、天然瓦斯、桌子、椅子,未提供,未提供,未提供,6,https://img1.591.com.tw/house/2026/07/21/178463960040892605.png!1000x.png | https://img2.591.com.tw/house/2026/07/21/178463960055069200.png!1000x.png | https://img1.591.com.tw/house/2026/07/21/178463960020952008.png!1000x.png | https://img1.591.com.tw/house/2026/07/21/178463960015003303.png!1000x.png | https://img2.591.com.tw/house/2026/07/21/178463960043628607.png!1000x.png | https://img2.591.com.tw/house/2026/07/21/178463960013425002.png!1000x.png
aehhq6feci6xy0gs,https://www.dd-room.com/object/aehhq6feci6xy0gs,捷運景美5分【超值租案】可開伙★獨立衛浴★小資首選,8499,16998,0,臺北市文山區景興路,文山區,景興路,24.9903893,121.5430591,1房1衛,1,0,1,0,0,2.0,獨立套房,apt,4.0,4,4,12,2026-07-21,broker,可開伙,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路、天然瓦斯、桌子、椅子,未提供,未提供,未提供,7,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43516/medium/96c134f6-f20c-4728-9bdb-3d1e5b5614c9.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43516/medium/9fe1de3e-1501-418e-8f59-7dddb07068d0.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43516/medium/9c25a44e-ec3b-4fe5-8ff0-359b9adb17ff.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43516/medium/211ef81e-f245-4726-a3c2-c7d18f041e79.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43516/medium/e6dff550-abe4-4b4b-b445-c103dadf7cae.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43516/medium/ef4a9fb5-bf0a-4fa6-a744-74af24a7cf2d.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43516/medium/2b7250c2-0fb3-4a0c-b827-efbc8f71af5c.jpg
bs97fvicw9edgxwv,https://www.dd-room.com/object/bs97fvicw9edgxwv,內湖區.捷運東湖站.共生宅.溫馨風設計感雅房502,10888,21774,0,臺北市內湖區安康路,內湖區,安康路,25.0647734,121.6089867,1房1衛1廚1陽台,1,0,1,1,1,2.0,分租套房,apt,6.0,5,5,12,2026-06-24,escrow,可無火煮食、對外窗、氣密窗、水泥隔間、租金補貼、有陽台,床、桌子、椅子、網路、冷氣、洗衣機、冰箱、電視、流理台、熱水器、住警器,未提供,水費、網路費,未提供,6,https://static.dd-room.com/images/object/b/s/9/bs97fvicw9edgxwv/cover/5f033ef64f5be94ba55e56b0d9bc10d9_766x510.jpg | https://static.dd-room.com/images/object/b/s/9/bs97fvicw9edgxwv/cover/768252aa9527c465b04dd5e5e6106097_766x510.jpg | https://static.dd-room.com/images/object/b/s/9/bs97fvicw9edgxwv/cover/a190269393c5daeb6984ef50249962a8_766x510.jpg | https://static.dd-room.com/images/object/b/s/9/bs97fvicw9edgxwv/cover/1bcdf5110032cf475cc353301144c3ad_766x510.jpg | https://static.dd-room.com/images/object/b/s/9/bs97fvicw9edgxwv/cover/3b7ec8099f358a9c79ad962d5332f512_766x510.jpg | https://static.dd-room.com/images/object/b/s/9/bs97fvicw9edgxwv/cover/97ca18c29ad36bd255d8ccaf4999df5d_766x510.jpg
axcwxpkfo9uzjhuk,https://www.dd-room.com/object/axcwxpkfo9uzjhuk,獨立套房、對外窗近台北商業大學、北科大,11000,22000,0,臺北市中正區杭州南路一段,中正區,杭州南路一段,25.0368297,121.5247724,1房1衛,1,0,1,0,0,2.0,獨立套房,apt,5.0,4,5,12,2026-07-21,broker,未提供,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、桌子、椅子,未提供,未提供,未提供,4,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43551/medium/dcbc9b60-f94d-443f-b52c-fb022def33d7.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43551/medium/6b6a2cd5-6792-49f2-8238-f107edd74fa5.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43551/medium/4706c4a6-871e-4d6d-917c-926e591289b8.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43551/medium/3d94f07e-1da5-4a9d-9a48-a6366aca76cc.jpg
udtwimtxa06qmthf,https://www.dd-room.com/object/udtwimtxa06qmthf,近捷運萬芳醫院【優質2房2衛】可補助★垃圾代收★警衛管理,28499,56998,1400,臺北市文山區興隆路二段,文山區,興隆路二段,24.99929,121.5472572,2房2廳2衛1陽台,2,2,2,0,1,2.0,整層,elevator,18.0,6,6,12,2026-07-21,broker,可開伙、有電梯、垃圾代收、有陽台、租金補貼,冷氣、熱水器、衣櫃、天然瓦斯、桌子,未提供,未提供,未提供,12,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/e2b66a6b-df99-426c-a6da-bed952a0c764.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/c0efd5ec-19d6-48ec-973f-4ac75c75d643.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/bfa06806-177f-4f1d-8d31-83098f3bf6d0.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/51fe18d6-3d9c-4550-8eb1-e3e2ce36585a.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/b36080f5-8354-4d63-ac72-0ea7f19a7a32.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/e33a4d6b-aa5c-4f17-a075-969e7fdcc2fa.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/96e9224a-9cc1-4a65-81fa-e53cb6f731d6.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/82da8dc7-b3b7-4714-b4ca-e79d259d1d6c.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/eed1fbe8-dc84-4751-95bf-ba3678e4cfd1.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/4b407ce3-3feb-4a39-a1b0-5f115e8a8c05.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/36184ece-a5f4-4a18-9bf6-5e203aab389e.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43513/medium/f95a461b-6268-4572-b5a9-c2a1622bd9b1.jpg
lzur6ckkjfmc0bdf,https://www.dd-room.com/object/lzur6ckkjfmc0bdf,捷運台電大樓3分【超值租案】免爬梯★獨立衛浴★師大專屬,8499,16998,0,臺北市中正區羅斯福路三段,中正區,羅斯福路三段,25.0210343,121.5293258,1房1衛,1,0,1,0,0,2.0,獨立套房,apt,2.0,1,3,12,2026-07-21,broker,未提供,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路、桌子、椅子,未提供,水費,未提供,6,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43537/medium/4bfe7a60-740e-4004-b966-fa53b0fa9bbf.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43537/medium/0a987017-a63b-4a8d-9aa3-a070718938ca.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43537/medium/8f8a11df-170b-4467-8cac-88e70fc8c096.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43537/medium/097f9abd-bb7b-4e34-b18f-a6fd6566952a.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43537/medium/0372c870-0371-483b-a862-3e1c9266d7ed.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43537/medium/1af5658b-d95e-42d2-994c-b3ee78757a2d.jpg
e1zjrqwfm6fhhkfi,https://www.dd-room.com/object/e1zjrqwfm6fhhkfi,近捷運辛亥【超值租案】可開伙★獨洗衣機★垃圾代收,9499,18998,0,臺北市文山區興隆路二段,文山區,興隆路二段,24.99929,121.5472572,1房1衛,1,0,1,0,0,2.0,獨立套房,elevator,3.0,2,9,12,2026-07-21,broker,可開伙、有電梯、垃圾代收,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、第四台、網路、天然瓦斯、桌子、椅子,未提供,未提供,未提供,8,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/6659cfb0-bd13-4e72-a715-46c785573e4d.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/60b56a4b-2ac7-489c-84f1-65d269982fc2.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/58e77eee-9473-4249-8465-5fb47568cda4.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/1a50ed8d-fa58-47c3-a112-59aa5b869692.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/3bd438c6-ffd1-468e-98cc-e7268922ee5f.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/33334ebb-b4f4-4949-a369-f855da6a8f29.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/565c9561-4fc7-4672-a110-f7f86c21f5ed.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43530/medium/f2c14c17-b72a-46a0-933e-e1f784ab4bcc.jpg
ermhljsmrhfp8hns,https://www.dd-room.com/object/ermhljsmrhfp8hns,政治大學【優質電梯】可補助★大空間★低樓層,14000,28000,0,臺北市文山區萬壽路,文山區,萬壽路,24.9812983,121.5852966,1房1衛1陽台,1,0,1,0,1,2.0,獨立套房,house,6.0,2,3,12,2026-07-21,broker,可開伙、有陽台、租金補貼,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路、桌子、椅子,未提供,未提供,未提供,5,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43500/medium/6df2a20c-f4cb-4773-bec5-e3008577e51e.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43500/medium/3dafb623-9163-47eb-9ed0-2470b995d1d8.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43500/medium/48b3654e-4aae-450f-bf4b-fb6d1e3b39aa.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43500/medium/0f7a36b0-f46d-45eb-a9b0-9e255de9bd7a.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43500/medium/01e8f278-c837-4338-b222-d092ccb26d64.jpg
hqitpgc7epdbvpw7,https://www.dd-room.com/object/hqitpgc7epdbvpw7,近捷運士林站【優質電梯】可補助★大面採光★獨立陽台,35999,71998,0,臺北市士林區雨農路,士林區,雨農路,25.0996714,121.5325186,1房1衛1陽台,1,0,1,0,1,2.0,獨立套房,elevator,12.0,3,5,12,2026-07-21,broker,可開伙、有電梯、有陽台、租金補貼,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌子、椅子,未提供,未提供,未提供,10,https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/271d572d-fc30-4259-9a74-6c2d7d9dc9d0.png | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/1f2a43e3-746f-4b73-9ea4-7da467937918.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/052cecb7-90b0-49f5-beac-8d2c48358890.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/e07acc6b-5f8d-4dbf-9cd3-6938bde786d5.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/8d680f5e-9025-4a00-a7f9-4bc8f549a564.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/3d35f2b3-bd60-4f4c-9f23-91f12dfa47fd.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/156c0f15-467d-4a38-94ea-ab36ba1bc49e.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/d2ed8635-84b7-412f-b760-722bc597ee4f.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/679859f1-e8ec-4c59-8147-72464836059a.jpg | https://renco-rentals-prod.s3.ap-northeast-1.amazonaws.com/43502/medium/f89f661c-64c7-45cd-ba10-485e84d7f19d.jpg
