pm_name,pm_Latitude,pm_Longitude,pm_type,pm_LandPublicArea,pm_location
七虎公園,25.136165,121.50155,公園,10098,育仁路108號（薇閣小學旁）
七星公園,25.136619568,121.50302124,公園,12056,光明路、中山路交叉口（新北投捷運站）
八仙公園,25.120286,121.502916,公園,2842,公館路423巷8弄
大豐公園,25.131940842,121.50373077,公園,12391,公館路13號旁
中央簡易公園,25.128099442,121.49992371,公園,4463,大興街與中央南路二段6巷口
中庸1號公園,25.138040543,121.50124359,公園,5049,位於北投區中庸里雙全街50號對面
丹鳳公園,25.126480103,121.5109787,公園,8185,公館路255巷19弄旁
公館公園,25.127990723,121.50643158,公園,8960,奇岩新社區(公三)
天狗庵遺址,25.135929108,121.50666809,公園,769,溫泉路73巷(天狗庵舊址)
文化1號公園,25.136535,121.496462,公園,2855,位於北投區文化里中央北路二段文化國小對面
文化2號公園,25.13643074,121.49684143,公園,1164,位於北投區文化里中央北路一段228巷
文化3號公園,25.137699127,121.49471283,公園,563,中央北路二段68巷進入(42巷11弄旁)
北投258號綠地(承德4號),25.1019,121.51245,公園,1780,承德路六段與福國路交叉口，北投士林科技園區(綠4，區段徵收)
北投2號公園,25.137179,121.508149,公園,12480,中山路2號
北投6號廣場,25.137035,121.503824,公園,633,大業路、光明路口，新北投捷運站前廣場(捷運局闢建)
北投公園,25.13656044,121.50473022,公園,67344,北投區中山路、光明路所圍範圍
北投社三層崎公園,25.14574,121.491156,公園,29835,北投區秀山路50號旁
石牌公園,25.116359711,121.51036072,公園,23582,石牌路一段39巷內
立農公園,25.118789673,121.50350952,公園,17822,承德路七段378號
吉利公園,25.119010925,121.50836945,公園,5270,位於北投區立農里吉利街179號旁
同德公園,25.125070572,121.52944946,公園,6750,位於北投區永欣里同德街27巷19號對面
地熱谷公園,25.137559891,121.5109787,公園,12950,臺北市北投區中山路30-1號(中山路與溫泉路交口)
行義公園,25.125389099,121.52523041,公園,36313,石牌路二段343巷8號
奇岩1號公園,25.128339,121.503698,公園,18729,臺北市北投區磺港路208號(奇岩新社區公一)
奇岩二號公園,25.126499176,121.50369263,公園,12442,臺北市北投區216號(奇岩新社區公二)
奇岩三號公園,25.125980377,121.50521851,公園,6154,奇岩新社區(公四)
東華公園,25.121839523,121.50707245,公園,75820,東華街二段300巷19號對面
林泉公園,25.14133,121.51482,公園,2027,溫泉路168號旁
知行公園,25.119729996,121.46665192,公園,2759,位於北投區關渡里知行路225巷
長安公園,25.135559082,121.50016022,公園,14042,育仁路109號對面(薇閣國小旁)
前山公園,25.150576524,121.5484437,公園,38328,臺北市北投區建國街4號旁及紗帽路117號對面
建民公園,25.104744,121.519809,公園,3230,文林北路16巷7號對面
泉源47號公園,25.14209938,121.5124588,公園,11473,泉源路80號對面山腳下
泉源48號公園,25.141939163,121.50715637,公園,15553,北投珠海路120號附近
洲美(公4)公園,25.100089,121.506347,公園,5753,洲美街122號
洲美蜆仔港公園,25.100997114,121.51118635,公園,30818,台北市士林區承德路六段329號
致遠公園,25.111270905,121.5150528,公園,2503,位於北投區榮光里致遠一路二段自強市場旁
重三公園,25.140159607,121.48928833,公園,4401,新興路與重三路交叉口(重三新村八期重劃)政校後勤區
振華公園,25.115169525,121.51885223,公園,9073,位於北投區振華里振華街24號對面
振興公園,25.117461,121.522978,公園,10950,天母西路與磺溪交叉口
桂花公園,25.137910843,121.51022339,公園,1396,中山路5-7號(林泉里辦公處旁)
桃源公園,25.138069153,121.48275757,公園,16114,中央北路三段148巷底
健行公園,25.121210098,121.50882721,公園,2367,位於北投區東華里致遠三路147巷二弄內
崇仰公園,25.12609,121.51106,公園,21686,崇仰一路、公館路225巷底
清江1公園,25.123910904,121.50247955,公園,3292,位於北投區清江里崇仁路一段154號對面
清江二公園,25.123680115,121.50189209,公園,1161,位於北投區清江里崇仁路1段154號旁
軟橋公園,25.103102,121.517613,公園,4510,台北市北投區文林北路5巷58號
復興公園,25.139690399,121.50322723,公園,26356,北投中和街200號
開明公園,25.141130447,121.50531769,公園,5574,珠海路112號附近
陽明公園,25.1590167547,121.539011156,公園,397288,臺北市北投區湖山路二段
新興公園,25.13934,121.48703,公園,2931,新興路145號旁(六期重劃)
溫泉綠地,25.138933,121.512342,公園,3220,溫泉路137號旁
聖景一公園,25.12045,121.46351,公園,247,聖景路100號內
聖景二公園,25.12038,121.46381,公園,184,聖景路101號旁
聖景三公園,25.12046,121.46382,公園,329,聖景路100號內
榮光公園,25.11472,121.51429,公園,3293,位於北投區榮光里石牌路1段石牌國中對面
榮富公園,25.114229202,121.52472687,公園,9135,榮華三路及磺溪旁(過天母橋)
榮華公園,25.110549927,121.52198792,公園,15199,明德路150巷3弄
福星(公1)公園,25.108828,121.512326,公園,91500,文林北路255號
稻中公園,25.138629913,121.4892807,公園,1592,中央北路二段334號旁(政校後勤區)
稻香公園,25.140949249,121.4885788,公園,839,位於北投區稻香里新興路72號對面
線形公園(一德里),25.129796,121.471619,公園,68,北投區中央北路四段372號對面
線形公園(中央北路3段),25.13687,121.48244,公園,105,中央北路三段164號對面
線形公園-北投25號綠地B,25.1225584084,121.5019876577,公園,166,臺北市北投區八仙里崇仁路一段166巷口近捷運邊
線形公園-芝山明德段,25.112372502,121.517139998,公園,2057,北投區線形公園東華街一段
線形公園（大同里）北投29號,25.133587,121.497223,公園,153,北投區北投路2段55號斜對面
學園公園,25.128269196,121.46634674,公園,14198,學園路、藝術大學門口旁
磺港公園,25.130512,121.50446,公園,8657,磺港路大興街交口
